,Country,Metric Scope,Metric Name,Value
3122,Syria rebels*,Overall,Ground Vehicles/Artillery,0.005
3123,Taiwan,Import,Ground Vehicles/Artillery,7.012007566834309
3124,Taiwan,Export,Ground Vehicles/Artillery,0.0
3125,Taiwan,Overall,Ground Vehicles/Artillery,7.0120000000000005
3126,Tajikistan,Import,Ground Vehicles/Artillery,0.04546464252004357
3127,Tajikistan,Export,Ground Vehicles/Artillery,0.0
3128,Tajikistan,Overall,Ground Vehicles/Artillery,0.045
3129,Tanzania,Import,Ground Vehicles/Artillery,0.6678118631392718
3130,Tanzania,Export,Ground Vehicles/Artillery,0.0
3131,Tanzania,Overall,Ground Vehicles/Artillery,0.668
3132,Thailand,Import,Ground Vehicles/Artillery,4.863459036169342
3133,Thailand,Export,Ground Vehicles/Artillery,0.004565497273762817
3134,Thailand,Overall,Ground Vehicles/Artillery,4.868
3135,Togo,Import,Ground Vehicles/Artillery,0.12677411908673084
3136,Togo,Export,Ground Vehicles/Artillery,0.0
3137,Togo,Overall,Ground Vehicles/Artillery,0.127
3138,Tunisia,Import,Ground Vehicles/Artillery,0.935398903077801
3139,Tunisia,Export,Ground Vehicles/Artillery,0.0
3140,Tunisia,Overall,Ground Vehicles/Artillery,0.935
3141,Turkiye,Import,Ground Vehicles/Artillery,14.492309449689087
3142,Turkiye,Export,Ground Vehicles/Artillery,1.3263599670694395
3143,Turkiye,Overall,Ground Vehicles/Artillery,15.818999999999999
3144,Turkmenistan,Import,Ground Vehicles/Artillery,0.24596796506544694
3145,Turkmenistan,Export,Ground Vehicles/Artillery,0.0
3146,Turkmenistan,Overall,Ground Vehicles/Artillery,0.246
3147,UAE,Import,Ground Vehicles/Artillery,9.569194004082233
3148,UAE,Export,Ground Vehicles/Artillery,0.4717196296813754
3149,UAE,Overall,Ground Vehicles/Artillery,10.041
3150,Uganda,Import,Ground Vehicles/Artillery,1.0266681106787856
3151,Uganda,Export,Ground Vehicles/Artillery,0.0
3152,Uganda,Overall,Ground Vehicles/Artillery,1.027
3153,Ukraine,Import,Ground Vehicles/Artillery,6.34915857308414
3154,Ukraine,Export,Ground Vehicles/Artillery,1.9861677082996754
3155,Ukraine,Overall,Ground Vehicles/Artillery,8.334999999999999
3156,Ukraine Rebels*,Import,Ground Vehicles/Artillery,0.03723851654632354
3157,Ukraine Rebels*,Export,Ground Vehicles/Artillery,0.0
3158,Ukraine Rebels*,Overall,Ground Vehicles/Artillery,0.037
3159,United Kingdom,Import,Ground Vehicles/Artillery,3.2888697495798396
3160,United Kingdom,Export,Ground Vehicles/Artillery,7.235773620145347
3161,United Kingdom,Overall,Ground Vehicles/Artillery,10.525
3162,United Nations**,Import,Ground Vehicles/Artillery,0.22569158430790973
3163,United Nations**,Export,Ground Vehicles/Artillery,9.338517150878489e-05
3164,United Nations**,Overall,Ground Vehicles/Artillery,0.22599999999999998
3165,United States,Import,Ground Vehicles/Artillery,9.954887137804604
3166,United States,Export,Ground Vehicles/Artillery,41.44831836151802
3167,United States,Overall,Ground Vehicles/Artillery,51.403
3168,Uruguay,Import,Ground Vehicles/Artillery,0.2675530476824396
3169,Uruguay,Export,Ground Vehicles/Artillery,0.0
3170,Uruguay,Overall,Ground Vehicles/Artillery,0.268
3171,Uzbekistan,Import,Ground Vehicles/Artillery,0.11822506668015816
3172,Uzbekistan,Export,Ground Vehicles/Artillery,0.0
3173,Uzbekistan,Overall,Ground Vehicles/Artillery,0.11800000000000001
3174,Venezuela,Import,Ground Vehicles/Artillery,2.279180770817885
3175,Venezuela,Export,Ground Vehicles/Artillery,0.0
3176,Venezuela,Overall,Ground Vehicles/Artillery,2.279
3177,Viet Cong (South Vietnam)*,Import,Ground Vehicles/Artillery,0.0004758915852565309
3178,Viet Cong (South Vietnam)*,Export,Ground Vehicles/Artillery,0.0
3179,Viet Cong (South Vietnam)*,Overall,Ground Vehicles/Artillery,0.0
3180,Viet Nam,Import,Ground Vehicles/Artillery,8.769084280241644
3181,Viet Nam,Export,Ground Vehicles/Artillery,0.006059660017903375
3182,Viet Nam,Overall,Ground Vehicles/Artillery,8.774999999999999
